file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,52,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,7
style.css,53,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,13
style.css,54,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,0
style.css,55,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,5
style.css,56,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,13
style.css,57,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,31
style.css,58,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,8
style.css,59,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,0
style.css,60,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,10
style.css,61,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,13
style.css,62,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,30
style.css,63,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,19
style.css,64,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,0
style.css,65,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,12
style.css,66,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,19
style.css,67,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,13
style.css,68,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,19
style.css,69,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,23
style.css,70,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,0
style.css,71,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,10
style.css,72,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,13
style.css,73,css,b0d8593a,Irelia-ja,2025-01-17,19:02:24,-08:00,2025-01-17T19:02:24-08:00,0,58
